iid,id,gender,idg,condtn,wave,round,position,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,race,imprace,imprelig,goal,date,go_out,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es
11,1,1,2,1,1,10,7,4,1,1,0,0.14,0,21,4,15,20,20,15,15,15,1,6,9,7,7,6,5,7,6,2,27,Finance,8,2,7,3,1,5,4,7,35,20,20,20,0,5,0,6,8,8,8,8,6,7,4,2,0
11,1,1,2,1,1,10,3,10,2,2,0,0.29,1,24,2,45,5,25,20,0,5,0,5,7,8,4,6,3,6,4,2,27,Finance,8,2,7,3,1,5,4,7,35,20,20,20,0,5,0,8,7,6,9,7,4,7,2,2,0
11,1,1,2,1,1,10,9,6,3,3,0,-0.24,1,25,2,35,10,35,10,10,0,0,7,9,10,7,8,9,8,7,1,27,Finance,8,2,7,3,1,5,4,7,35,20,20,20,0,5,0,7,8,6,5,8,4,5,2,1,0
11,1,1,2,1,1,10,6,3,4,4,0,-0.18,1,23,2,20,20,20,20,10,10,0,4,10,8,5,8,7,6,7,2,27,Finance,8,2,7,3,1,5,4,7,35,20,20,20,0,5,0,6,7,8,7,7,5,6,3,2,0
11,1,1,2,1,1,10,4,1,5,5,0,-0.43,1,21,2,20,5,25,25,10,15,0,5,8,8,2,2,2,7,5,2,27,Finance,8,2,7,3,1,5,4,7,35,20,20,20,0,5,0,6,8,8,8,7,6,6,5,2,0
11,1,1,2,1,1,10,8,5,6,6,0,0.33,0,23,4,10,25,20,25,5,15,1,6,9,7,6,7,6,6,6,2,27,Finance,8,2,7,3,1,5,4,7,35,20,20,20,0,5,0,7,9,8,9,8,4,7,4,2,0
11,1,1,2,1,1,10,5,2,7,7,0,0.19,0,22,4,15,15,25,20,15,10,0,4,8,8,5,7,4,7,4,2,27,Finance,8,2,7,3,1,5,4,7,35,20,20,20,0,5,0,7,8,8,8,7,7,7,4,2,0
11,1,1,2,1,1,10,10,7,8,8,0,-0.03,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,5,8,7,4,7,5,4,5,2,27,Finance,8,2,7,3,1,5,4,7,35,20,20,20,0,5,0,8,7,6,6,6,5,7,4,2,0
11,1,1,2,1,1,10,1,8,9,9,0,0.19,0,26,6,20,10,20,30,10,10,1,8,10,9,8,7,6,5,5,2,27,Finance,8,2,7,3,1,5,4,7,35,20,20,20,0,5,0,6,8,7,8,7,5,6,4,2,0
11,1,1,2,1,1,10,2,9,10,10,0,0.3,1,26,2,15,15,15,40,10,5,0,6,10,10,6,6,,6,3,2,27,Finance,8,2,7,3,1,5,4,7,35,20,20,20,0,5,0,7,8,7,8,6,5,6,3,2,0
12,2,1,4,1,1,10,7,3,1,1,0,0.54,0,21,4,15,20,20,15,15,15,1,7,8,7,8,5,6,7,5,1,22,Law,1,2,1,1,1,1,1,7,60,0,0,40,0,0,0,7,8,10,7,7,5,8,4,2,3
12,2,1,4,1,1,10,3,9,2,2,0,0.18,1,24,2,45,5,25,20,0,5,0,8,5,6,6,9,6,7,3,2,22,Law,1,2,1,1,1,1,1,7,60,0,0,40,0,0,0,7,6,10,6,6,5,8,4,2,3
12,2,1,4,1,1,10,9,5,3,3,0,-0.14,1,25,2,35,10,35,10,10,0,0,9,7,9,8,9,7,8,7,2,22,Law,1,2,1,1,1,1,1,7,60,0,0,40,0,0,0,6,7,10,6,6,5,7,3,2,3
12,2,1,4,1,1,10,6,2,4,4,0,-0.18,1,23,2,20,20,20,20,10,10,0,8,7,8,10,7,8,8,1,1,22,Law,1,2,1,1,1,1,1,7,60,0,0,40,0,0,0,6,5,10,6,6,5,6,3,1,3
